Produit,Cout_Produit_AED,Prix_Vente_AED,Food_Cost_%,Ingredient,Unite,Cout_Unite_AED,Quantite,Sous_Total_Cout_AED,Order_Types,Maj_Par
Egg Your Way (3 Eggs),5.71,27.0,22.21,Cream Cooking,ml,0.012,50.0,0.575,All,Muhammad Muneer
espresso,2.24,0.0,0,Water sparkling (750 ml) - Al Ain Glass Bottle,ml,0.003,80.0,0.23,All,Muhammad Muneer
espresso,2.24,0.0,0,Brazil Santa Ines Luiz Paulo Pereira (1kg),gms,0.1,20.0,2.006,All,Muhammad Muneer
Espresso,2.01,19.0,11.11,Brazil Santa Ines Luiz Paulo Pereira (1kg),gms,0.1,20.0,2.006,All,Muhammad Muneer
Ethiopia,2.43,0.0,0,Ethiopia Banko Chelchele Chelbesa Natural 1kg,gms,0.122,20.0,2.432,All,Muhammad Muneer
Ethiopia Coffee Banko 1kg,121.58,195.0,65.47,Ethiopia Banko Chelchele Chelbesa Natural 1kg,gms,0.122,1000.0,121.577,All,Muhammad Muneer
Ethiopia Coffee Banko 250gms,42.0,50.0,88.2,Ethiopia Banko Chelchele Chelbesa Natural 250,gms,0.168,250.0,42,All,Muhammad Muneer
Ethiopia Hamasho,4.2,0.0,0,Ethiopia Hamasho Natural Archers Lot 200gm,gms,0.21,20.0,4.2,All,Muhammad Muneer
Ethiopia Hamasho Village (200 gms),42.0,75.0,58.8,Ethiopia Hamasho Natural Archers Lot 200gm,gms,0.21,200.0,42,All,Muhammad Muneer
Filter - V60,7.26,32.0,23.82,Colombia Luz Helena Castillo Peach,gms,0.335,20.0,6.7,All,Muhammad Muneer
Filter - V60,7.26,32.0,23.82,Water sparkling (750 ml) - Al Ain Glass Bottle,ml,0.003,100.0,0.288,All,Muhammad Muneer
Filter - V60,7.26,32.0,23.82,"Water Al Ain bottled 1,5 L",ml,0.001,300.0,0.275,All,Muhammad Muneer
Financiers - Box of 10,3.79,20.0,19.9,Financiers,piece,0.379,10.0,3.794,All,Muhammad Muneer
Fish Of The Day,19.4,58.0,35.12,Fish of the Day,Portions,19.403,1.0,19.403,All,Muhammad Muneer
Flan - Vanilla,4.31,0.0,0,Flan Vanilla ( Single),piece,4.308,1.0,4.308,All,Muhammad Muneer
Flat White,2.96,24.0,12.95,Milk Full Cream,ml,0.004,150.0,0.663,All,Muhammad Muneer
Flat White,2.96,24.0,12.95,Brazil Santa Ines Luiz Paulo Pereira (1kg),gms,0.1,20.0,2.006,All,Muhammad Muneer
Flat White,2.96,24.0,12.95,Water sparkling (750 ml) - Al Ain Glass Bottle,ml,0.003,100.0,0.288,All,Muhammad Muneer
Flat White,2.67,0.0,0,Milk Full Cream,ml,0.004,150.0,0.663,All,Muhammad Muneer
Flat White,2.67,0.0,0,Brazil Santa Ines Luiz Paulo Pereira (1kg),gms,0.1,20.0,2.006,All,Muhammad Muneer
Focaccia,1.19,10.0,12.5,Focaccia Slice ( 6 Slice full ),Slice,1.189,1.0,1.189,All,Muhammad Muneer
Focaccia Slice,1.19,0.0,0,Focaccia Slice ( 6 Slice full ),Slice,1.189,1.0,1.189,All,Muhammad Muneer
French Brioche Toast,8.71,0.0,0,French Toast,piece,8.711,1.0,8.711,All,Muhammad Muneer
French Brioche Toast Chocolate,8.71,0.0,0,French Toast,piece,8.711,1.0,8.711,All,Muhammad Muneer
french fries,1.29,0.0,0,French Fries,gms,0.013,100.0,1.29,All,Muhammad Muneer
Fresh mango juice,3.99,0.0,0,Mango,gms,0.016,100.0,1.6,All,Muhammad Muneer
Fresh mango juice,3.99,0.0,0,Sugar Syrup Homemade,ml,0.003,30.0,0.087,All,Muhammad Muneer
Fresh mango juice,3.99,0.0,0,"Water Al Ain bottled 1,5 L",ml,0.001,200.0,0.183,All,Muhammad Muneer
Fresh mango juice,3.99,0.0,0,Puree Mango No Added Sugar,gms,0.042,50.0,2.116,All,Muhammad Muneer
Fresh Orange juice,4.65,18.0,27.13,Orange Naval,gms,0.005,1000.0,4.65,All,Jawad
Fried eggs and ham croissant,10.01,37.0,28.41,Spinach Leaves,gms,0.038,50.0,1.905,All,Muhammad Muneer
Fried eggs and ham croissant,10.01,37.0,28.41,Butter Croissants,piece,1.993,1.0,1.993,All,Muhammad Muneer
Fried eggs and ham croissant,10.01,37.0,28.41,Mix salads,gms,0.032,100.0,3.163,All,Muhammad Muneer
Fried eggs and ham croissant,10.01,37.0,28.41,Egg Unit,piece,0.589,1.0,0.589,All,Muhammad Muneer
Fried eggs and ham croissant,10.01,37.0,28.41,Salt Nezo,gms,0.003,1.0,0.003,All,Muhammad Muneer
Fried eggs and ham croissant,10.01,37.0,28.41,Turkey Ham Sliced,gms,0.037,60.0,2.22,All,Muhammad Muneer
Fried eggs and ham croissant,10.01,37.0,28.41,Oil Pomace Olive,ml,0.027,5.0,0.135,All,Muhammad Muneer
Fries,1.29,7.0,19.35,French Fries,gms,0.013,100.0,1.29,All,Muhammad Muneer
Fries with Beef Strips,8.63,28.0,32.36,Fries with Beef Strips,Portions,8.626,1.0,8.626,All,Muhammad Muneer
Fries with Cheese,3.8,24.0,16.63,Fries with Cheese,Portions,3.799,1.0,3.799,All,Muhammad Muneer
Garlic Bread,1.19,10.0,12.5,Baguette,piece,1.194,1.0,1.194,All,Muhammad Muneer
Gianduja Hazelnut - Hot Chocolate,7.32,27.0,28.51,Hot Chocolate - Gianduja Hazelnut,ml,0.029,250.0,7.325,All,Muhammad Muneer
Gianduja Hazelnut - Hot Chocolate,6.95,17.0,42.93,Cream Whipping Elle & Vire,ml,0.025,35.0,0.877,All,Jawad
Gianduja Hazelnut - Hot Chocolate,6.95,17.0,42.93,Milk Full Cream,ml,0.004,170.0,0.751,All,Jawad
Gianduja Hazelnut - Hot Chocolate,6.95,17.0,42.93,Chocolate Dark Gianduja Nut 70%,gms,0.076,70.0,5.323,All,Jawad
Greek Salad,12.26,27.0,47.68,Greek Salad,Portions,12.263,1.0,12.263,All,Muhammad Muneer
Greek Salad,12.26,0.0,0,Greek Salad,Portions,12.263,1.0,12.263,All,Muhammad Muneer
Grilled Chicken,4.96,29.0,17.96,Chicken Breast 1000 gms,gms,0.038,130.0,4.956,All,Muhammad Muneer
Grilled vegetable croissant,46.38,0.0,0,Cheese Cream Elle & Vire,gms,0.031,35.0,1.085,All,Jawad
Grilled vegetable croissant,46.38,0.0,0,Lettuce Romaine,gms,0.006,15.0,0.082,All,Jawad
Grilled vegetable croissant,46.38,0.0,0,croissant dough,gms,0.603,70.0,42.207,All,Jawad
Grilled vegetable croissant,46.38,0.0,0,Eggplant Big,gms,0.005,30.0,0.135,All,Jawad
Grilled vegetable croissant,46.38,0.0,0,Lettuce Mesclun Mix,gms,0.064,15.0,0.964,All,Jawad
Grilled vegetable croissant,46.38,0.0,0,Capsicum Red,gms,0.012,40.0,0.46,All,Jawad
Grilled vegetable croissant,46.38,0.0,0,Capsicum Green,gms,0.009,40.0,0.36,All,Jawad
Grilled vegetable croissant,46.38,0.0,0,Capsicum Yellow,gms,0.012,40.0,0.46,All,Jawad
Grilled vegetable croissant,46.38,0.0,0,Zucchini green,gms,0.021,30.0,0.629,All,Jawad
Grown-Up Kid,12.46,35.0,37.38,Grown-Up Kid,Portions,12.463,1.0,12.463,All,Muhammad Muneer
Guatemala,2.8,0.0,0,Guatemala Durazno Huehuetenango,gms,0.14,20.0,2.8,All,Jawad
Harira Soup,5.9,32.0,19.36,Daba Special Bread,piece,0.814,1.0,0.814,All,Muhammad Muneer
Harira Soup,5.9,32.0,19.36,Harirah Soup,Portions,5.081,1.0,5.081,All,Muhammad Muneer
Hazelnut Cookie,3.55,25.0,14.91,Hazelnut Cookies,piece,3.549,1.0,3.549,All,Muhammad Muneer
Hazelnut cookies,3.55,0.0,0,Hazelnut Cookies,piece,3.549,1.0,3.549,All,Muhammad Muneer
HERB OMELETTE SAVORY,4.28,28.0,16.05,Herb Omelette,piece,4.282,1.0,4.282,All,Muhammad Muneer
Hojicha - Milk Based,4.48,26.0,18.09,Hojicha Organic Powder,gms,0.719,5.0,3.596,All,Muhammad Muneer
Hojicha - Milk Based,4.48,26.0,18.09,Milk Full Cream,ml,0.004,200.0,0.884,All,Muhammad Muneer
Homemade Carrot - Full Cake,35.47,269.0,13.85,Carrot Cake - Slice,Slice,4.433,8.0,35.465,All,Muhammad Muneer
Honey butter toast,1.35,0.0,0,Honey Butter Toast,piece,1.347,1.0,1.347,All,Muhammad Muneer
Honey Mustard Sauce,0.83,3.0,29.05,Honey Mustard Sauce,gms,0.01,80.0,0.825,All,Muhammad Muneer
Hot Dark Mocha,3.73,10.0,39.17,Chocolate Sauce Topping,ml,0.042,25.0,1.058,All,Muhammad Muneer
Hot Dark Mocha,3.73,10.0,39.17,Brazil Santa Ines Luiz Paulo Pereira (1kg),gms,0.1,20.0,2.006,All,Muhammad Muneer
Hot Dark Mocha,3.73,10.0,39.17,Milk Full Cream,ml,0.004,150.0,0.663,All,Muhammad Muneer
Iced Americano,2.48,19.0,13.71,Water sparkling (750 ml) - Al Ain Glass Bottle,ml,0.003,100.0,0.288,All,Muhammad Muneer
Iced Americano,2.48,19.0,13.71,"Water Al Ain bottled 1,5 L",ml,0.001,200.0,0.183,All,Muhammad Muneer
Iced Americano,2.48,19.0,13.71,ice,ml,0,150.0,0,All,Muhammad Muneer
Iced Americano,2.48,19.0,13.71,Brazil Santa Ines Luiz Paulo Pereira (1kg),gms,0.1,20.0,2.006,All,Muhammad Muneer
Iced Cappuccino,3.75,25.0,15.75,Brazil Santa Ines Luiz Paulo Pereira (1kg),gms,0.1,20.0,2.006,All,Muhammad Muneer
Iced Cappuccino,3.75,25.0,15.75,Water sparkling (750 ml) - Al Ain Glass Bottle,ml,0.003,100.0,0.288,All,Muhammad Muneer
Iced Cappuccino,3.75,25.0,15.75,Milk Full Cream,ml,0.004,280.0,1.238,All,Muhammad Muneer
Iced Cappuccino,3.75,25.0,15.75,"Cocoa Powder 100% Pure ,22-24% c b Content,",gms,0.107,2.0,0.215,All,Muhammad Muneer
Iced Cappuccino,3.75,25.0,15.75,ice,ml,0,150.0,0,All,Muhammad Muneer
Iced Caramel Macchiato,8.72,28.0,32.7,ice,ml,0,100.0,0,All,Muhammad Muneer
Iced Caramel Macchiato,8.72,28.0,32.7,Brazil Santa Ines Luiz Paulo Pereira (1kg),gms,0.1,20.0,2.006,All,Muhammad Muneer
Iced Caramel Macchiato,8.72,28.0,32.7,Water sparkling (750 ml) - Al Ain Glass Bottle,ml,0.003,100.0,0.288,All,Muhammad Muneer
Iced Caramel Macchiato,8.72,28.0,32.7,Vanilla Pure Vanilla Exctract,ml,0.65,4.0,2.6,All,Muhammad Muneer
Iced Caramel Macchiato,8.72,28.0,32.7,Cream Whipping Elle & Vire,ml,0.025,50.0,1.252,All,Muhammad Muneer
Iced Caramel Macchiato,8.72,28.0,32.7,Milk Full Cream,ml,0.004,200.0,0.884,All,Muhammad Muneer
Iced Caramel Macchiato,8.72,28.0,32.7,Chocolate Sauce Topping,ml,0.042,40.0,1.693,All,Muhammad Muneer
Iced Latte,3.18,25.0,13.36,Milk Full Cream,ml,0.004,200.0,0.884,All,Muhammad Muneer
Iced Latte,3.18,25.0,13.36,ice,ml,0,100.0,0,All,Muhammad Muneer
Iced Latte,3.18,25.0,13.36,Water sparkling (750 ml) - Al Ain Glass Bottle,ml,0.003,100.0,0.288,All,Muhammad Muneer
Iced Latte,3.18,25.0,13.36,Brazil Santa Ines Luiz Paulo Pereira (1kg),gms,0.1,20.0,2.006,All,Muhammad Muneer
Iced Matcha Latte,3.69,25.0,15.5,"Water Al Ain bottled 1,5 L",ml,0.001,50.0,0.046,All,Muhammad Muneer
Iced Matcha Latte,3.69,25.0,15.5,Milk Full Cream,ml,0.004,200.0,0.884,All,Muhammad Muneer
Iced Matcha Latte,3.69,25.0,15.5,Water sparkling (750 ml) - Al Ain Glass Bottle,ml,0.003,100.0,0.288,All,Muhammad Muneer
Iced Matcha Latte,3.69,25.0,15.5,Matcha Premium,gms,0.413,6.0,2.475,All,Muhammad Muneer
Iced Mocha,8.22,25.0,34.52,Cream Whipping Elle & Vire,ml,0.025,60.0,1.503,All,Muhammad Muneer
Iced Mocha,8.22,25.0,34.52,Ice Cream Chocolate,ml,0.004,100.0,0.425,All,Muhammad Muneer
Iced Mocha,8.22,25.0,34.52,Spanish mixed milk,ml,0.01,150.0,1.454,All,Muhammad Muneer
Iced Mocha,8.22,25.0,34.52,ice,ml,0,100.0,0,All,Muhammad Muneer
Iced Mocha,8.22,25.0,34.52,Brazil Santa Ines Luiz Paulo Pereira (1kg),gms,0.1,20.0,2.006,All,Muhammad Muneer
Iced Mocha,8.22,25.0,34.52,Chocolate Sauce Topping,ml,0.042,60.0,2.54,All,Muhammad Muneer
Iced Mocha,8.22,25.0,34.52,Water sparkling (750 ml) - Al Ain Glass Bottle,ml,0.003,100.0,0.288,All,Muhammad Muneer
Iced Saffron Latte,5.34,29.0,19.33,Milk Full Cream,ml,0.004,80.0,0.354,All,Muhammad Muneer
Iced Saffron Latte,5.34,29.0,19.33,Water sparkling (750 ml) - Al Ain Glass Bottle,ml,0.003,100.0,0.288,All,Muhammad Muneer
Iced Saffron Latte,5.34,29.0,19.33,Brazil Santa Ines Luiz Paulo Pereira (1kg),gms,0.1,20.0,2.006,All,Muhammad Muneer
Iced Saffron Latte,5.34,29.0,19.33,Saffron Mixed Milk,ml,0.013,200.0,2.694,All,Muhammad Muneer
Iced Saffron Latte,5.34,29.0,19.33,ice,ml,0,100.0,0,All,Muhammad Muneer
Iced Spanish Latte,4.59,27.0,17.85,Brazil Santa Ines Luiz Paulo Pereira (1kg),gms,0.1,20.0,2.006,All,Muhammad Muneer
Iced Spanish Latte,4.59,27.0,17.85,Water sparkling (750 ml) - Al Ain Glass Bottle,ml,0.003,100.0,0.288,All,Muhammad Muneer
Iced Spanish Latte,4.59,27.0,17.85,Spanish mixed milk,ml,0.01,200.0,1.939,All,Muhammad Muneer
Iced Spanish Latte,4.59,27.0,17.85,Milk Full Cream,ml,0.004,80.0,0.354,All,Muhammad Muneer
Iced V60,6.7,8.0,87.94,Colombia Luz Helena Castillo Peach,gms,0.335,20.0,6.7,All,Muhammad Muneer
Iced V60,7.24,32.0,23.76,Colombia Luz Helena Castillo Peach,gms,0.335,20.0,6.7,All,Muhammad Muneer
Iced V60,7.24,32.0,23.76,"Water Al Ain bottled 1,5 L",ml,0.001,300.0,0.275,All,Muhammad Muneer
Iced V60,7.24,32.0,23.76,Packaging - PET Cup recycle 12 oz,piece,0.26,1.0,0.26,All,Muhammad Muneer
Kouign-Amann Apple,2.93,0.0,0,Kouign-Amann Apple,piece,2.926,1.0,2.926,All,Muhammad Muneer
Lemon Cookie,3.07,25.0,12.89,Lemon Cookie,piece,3.066,1.0,3.066,All,Muhammad Muneer
Lemon cookies,3.07,0.0,0,Lemon Cookie,piece,3.066,1.0,3.066,All,Muhammad Muneer
Le Pain Chocolat,2.38,0.0,0,Salt Nezo,gms,0.003,0.93,0.003,All,Jawad
Le Pain Chocolat,2.38,0.0,0,Water extraction,ml,0,18.55,0,All,Jawad
Le Pain Chocolat,2.38,0.0,0,Flour T55 Moul-Bie,kg,4.72,0.05152,0.243,All,Jawad
Le Pain Chocolat,2.38,0.0,0,Chocolate Sticks Bake Stable,gms,0.07,10.0,0.7,All,Jawad
Le Pain Chocolat,2.38,0.0,0,Butter Unsalted Block,gms,0.03,3.61,0.108,All,Jawad
Le Pain Chocolat,2.38,0.0,0,CROISSANT BUTTER SHEET 84%- PRESIDENT - 5X2KG,gms,0.061,20.61,1.262,All,Jawad
Le Pain Chocolat,2.38,0.0,0,Yeast Frozen Hirondelle,gms,0.015,2.06,0.031,All,Jawad
Le Pain Chocolat,2.38,0.0,0,Egg York,gms,0.009,2.58,0.023,All,Jawad
Le Pain Chocolat,2.38,0.0,0,Sugar Regular,gms,0.003,5.15,0.015,All,Jawad
Low Fat Milk,0.79,0.0,0,Milk Skimmed Al Marai,ml,0.004,200.0,0.792,All,Muhammad Muneer
Lungo,2.29,19.0,12.66,Brazil Santa Ines Luiz Paulo Pereira (1kg),gms,0.1,20.0,2.006,All,Muhammad Muneer
Lungo,2.29,19.0,12.66,Water extraction,ml,0,70.0,0,All,Muhammad Muneer
Lungo,2.29,19.0,12.66,Water sparkling (750 ml) - Al Ain Glass Bottle,ml,0.003,100.0,0.288,All,Muhammad Muneer
Macchiato,2.36,10.0,24.78,Milk Full Cream,ml,0.004,80.0,0.354,All,Muhammad Muneer
Macchiato,2.36,10.0,24.78,Brazil Santa Ines Luiz Paulo Pereira (1kg),gms,0.1,20.0,2.006,All,Muhammad Muneer
Madeleine - Chocolate,0.84,8.0,11.03,Madeleine Chocolate,piece,0.842,1.0,0.842,All,Muhammad Muneer
"Madeleine, chouquette, financier",0.5,0.0,0,Madeleine Lemon,piece,0.496,1.0,0.496,All,Muhammad Muneer
Madeleine Cinnamon,0.47,8.0,6.3,Madeleine Cinnamon,piece,0.475,1.0,0.475,All,Muhammad Muneer
Madeleine Lemon,0.5,8.0,6.56,Madeleine Lemon,piece,0.496,1.0,0.496,All,Muhammad Muneer
Madeleine Plain,0.47,8.0,6.17,Madeleine Plain,piece,0.467,1.0,0.467,All,Muhammad Muneer
Mango Juice,5.88,20.0,30.87,"Water Al Ain bottled 1,5 L",ml,0.001,200.0,0.183,All,Muhammad Muneer
Mango Juice,5.88,20.0,30.87,Puree Mango No Added Sugar,gms,0.042,40.0,1.693,All,Muhammad Muneer
Mango Juice,5.88,20.0,30.87,Mango,gms,0.016,250.0,4,All,Muhammad Muneer
Mango Juice 200ml,3.2,12.0,28.0,Mango,gms,0.016,200.0,3.2,All,Muhammad Muneer
Mango Passion,3.88,24.0,16.97,ice,ml,0,100.0,0,All,Muhammad Muneer
Mango Passion,3.88,24.0,16.97,Puree Mango No Added Sugar,gms,0.042,50.0,2.116,All,Muhammad Muneer
Mango Passion,3.88,24.0,16.97,Puree Passion No Added Sugar,gms,0.04,30.0,1.212,All,Muhammad Muneer
Mango Passion,3.88,24.0,16.97,Sprite Zero,ml,0.005,100.0,0.463,All,Muhammad Muneer
Mango Passion,3.88,24.0,16.97,Orange Naval,gms,0.005,20.0,0.093,All,Muhammad Muneer
Mango Soda,1.71,15.0,11.97,Mango,gms,0.016,25.0,0.4,All,Jawad
Mango Soda,1.71,15.0,11.97,Mango syrup Homemade,gms,0.022,22.0,0.494,All,Jawad
Mango Soda,1.71,15.0,11.97,Puree Mango No Added Sugar,gms,0.042,7.0,0.296,All,Jawad
Mango Soda,1.71,15.0,11.97,Water sparkling (750 ml) - Al Ain Glass Bottle,ml,0.003,180.0,0.518,All,Jawad
Matcha Latte,2.97,0.0,0,Matcha Premium,gms,0.413,5.0,2.063,All,Muhammad Muneer
Matcha Latte,2.97,0.0,0,"Water Al Ain bottled 1,5 L",ml,0.001,30.0,0.028,All,Muhammad Muneer
Matcha Latte,2.97,0.0,0,Milk Full Cream,ml,0.004,200.0,0.884,All,Muhammad Muneer
Matcha Latte,3.26,25.0,13.69,"Water Al Ain bottled 1,5 L",ml,0.001,30.0,0.028,All,Muhammad Muneer
Matcha Latte,3.26,25.0,13.69,Water sparkling (750 ml) - Al Ain Glass Bottle,ml,0.003,100.0,0.288,All,Muhammad Muneer
Matcha Latte,3.26,25.0,13.69,Matcha Premium,gms,0.413,5.0,2.063,All,Muhammad Muneer
Matcha Latte,3.26,25.0,13.69,Milk Full Cream,ml,0.004,200.0,0.884,All,Muhammad Muneer
Matcha - Milk Based,2.95,26.0,11.91,Matcha Premium,gms,0.413,5.0,2.063,All,Muhammad Muneer
Matcha - Milk Based,2.95,26.0,11.91,Milk Full Cream,ml,0.004,200.0,0.884,All,Muhammad Muneer
Mini Baguette,0.6,0.0,0,Mini Baguette,piece,0.597,1.0,0.597,All,Muhammad Muneer
Mini Butter Croissant,0.83,0.0,0,Flour T55 Moul-Bie,kg,4.72,0.02273,0.107,All,Jawad
Mini Butter Croissant,0.83,0.0,0,Yeast Frozen Hirondelle,gms,0.015,0.91,0.014,All,Jawad
Mini Butter Croissant,0.83,0.0,0,Egg York,gms,0.009,1.14,0.01,All,Jawad
Mini Butter Croissant,0.83,0.0,0,"Water Al Ain bottled 1,5 L",ml,0.001,8.18,0.007,All,Jawad
Mini Butter Croissant,0.83,0.0,0,Sugar Regular,gms,0.003,2.27,0.007,All,Jawad
Mini Butter Croissant,0.83,0.0,0,Salt Nezo,gms,0.003,0.41,0.001,All,Jawad
Mini Butter Croissant,0.83,0.0,0,Cream Whipping Elle & Vire,ml,0.025,0.68,0.017,All,Jawad
Mini Butter Croissant,0.83,0.0,0,Egg York,gms,0.009,6.82,0.06,All,Jawad
Mini Butter Croissant,0.83,0.0,0,Butter Unsalted Block,gms,0.03,1.59,0.047,All,Jawad
Mini Butter Croissant,0.83,0.0,0,CROISSANT BUTTER SHEET 84%- PRESIDENT - 5X2KG,gms,0.061,9.09,0.557,All,Jawad
Mini Pistachio Croissant,1.78,0.0,0,Yeast Frozen Hirondelle,gms,0.015,0.91,0.014,All,Muhammad Muneer
Mini Pistachio Croissant,1.78,0.0,0,Egg York,gms,0.009,6.82,0.06,All,Muhammad Muneer
Mini Pistachio Croissant,1.78,0.0,0,Butter Unsalted Block,gms,0.03,1.59,0.047,All,Muhammad Muneer
Mini Pistachio Croissant,1.78,0.0,0,CROISSANT BUTTER SHEET 84%- PRESIDENT - 5X2KG,gms,0.061,9.09,0.557,All,Muhammad Muneer
Mini Pistachio Croissant,1.78,0.0,0,Cream Whipping Elle & Vire,ml,0.025,0.68,0.017,All,Muhammad Muneer
Mini Pistachio Croissant,1.78,0.0,0,Pistachio Paste),gms,0.084,3.0,0.253,All,Muhammad Muneer
Mini Pistachio Croissant,1.78,0.0,0,Pistachio Custard,gms,0.022,20.0,0.434,All,Muhammad Muneer
Mini Pistachio Croissant,1.78,0.0,0,Pistachio Slices,kg,135,0.002,0.27,All,Muhammad Muneer
Mini Pistachio Croissant,1.78,0.0,0,Egg York,gms,0.009,1.14,0.01,All,Muhammad Muneer
Mini Pistachio Croissant,1.78,0.0,0,"Water Al Ain bottled 1,5 L",ml,0.001,8.18,0.007,All,Muhammad Muneer
Mini Pistachio Croissant,1.78,0.0,0,Sugar Regular,gms,0.003,2.27,0.007,All,Muhammad Muneer
Mini Pistachio Croissant,1.78,0.0,0,Salt Nezo,gms,0.003,0.41,0.001,All,Muhammad Muneer
Mini Pistachio Croissant,1.78,0.0,0,Flour T55 Moul-Bie,kg,4.72,0.02273,0.107,All,Muhammad Muneer
Mushroom croissant,48.67,0.0,0,croissant dough,gms,0.603,70.0,42.207,All,Jawad
Mushroom croissant,48.67,0.0,0,Rosemary Leaves,gms,0.296,2.0,0.591,All,Jawad
Mushroom croissant,48.67,0.0,0,Cheese Parmesan Block,gms,0.043,30.0,1.288,All,Jawad
Mushroom croissant,48.67,0.0,0,Alfredo sauce,ml,0.016,40.0,0.622,All,Jawad
Mushroom croissant,48.67,0.0,0,Oil Pomace Olive,ml,0.027,20.0,0.538,All,Jawad
Mushroom croissant,48.67,0.0,0,Mix salads,gms,0.032,30.0,0.949,All,Jawad
Mushroom croissant,48.67,0.0,0,Salt Nezo,gms,0.003,1.0,0.003,All,Jawad
Mushroom croissant,48.67,0.0,0,Parsley Leaves,gms,0.009,1.0,0.009,All,Jawad
Mushroom croissant,48.67,0.0,0,Mushroom Button,gms,0.02,120.0,2.4,All,Jawad
Mushroom croissant,48.67,0.0,0,Garlic,gms,0.007,10.0,0.067,All,Jawad
MUSHROOM SCRAMBLE,7.32,32.0,24.02,Mushroom Scrambled,Portions,7.32,1.0,7.32,All,Muhammad Muneer
Oat Milk,1.51,3.0,52.85,Oatly Oat Barista Edition,ml,0.01,150.0,1.513,All,Jawad
Oat Milk 150,1.51,3.0,52.85,Oatly Oat Barista Edition,ml,0.01,150.0,1.513,All,Jawad
Oat Milk V1.5,1.51,3.0,52.85,Oatly Oat Barista Edition,ml,0.01,150.0,1.513,All,Jawad
orange juice,4.65,10.0,48.83,Orange Naval,gms,0.005,1000.0,4.65,All,Muhammad Muneer
Orange Juice,4.65,18.0,27.13,Orange Naval,gms,0.005,1000.0,4.65,All,Muhammad Muneer
Organic Coconut Water,3.16,6.0,55.3,Organic Coconut Water Drop,ml,0.016,200.0,3.159,All,Jawad
orzo salad,4.61,0.0,0,Pasta Rizo,gms,0.017,50.0,0.85,All,Jawad
orzo salad,4.61,0.0,0,Lettuce Mesclun Mix,gms,0.064,30.0,1.928,All,Jawad
orzo salad,4.61,0.0,0,Olive Green Pitted,gms,0.011,12.0,0.129,All,Jawad
orzo salad,4.61,0.0,0,Onion Red,gms,0.004,20.0,0.074,All,Jawad
orzo salad,4.61,0.0,0,Cucumber,gms,0.005,60.0,0.27,All,Jawad
orzo salad,4.61,0.0,0,Spinach Baby,gms,0.068,20.0,1.36,All,Jawad
Pain Au Chocolat,3.44,16.0,22.58,Pain Au Chocolat,piece,3.438,1.0,3.438,All,Muhammad Muneer
Pain au chocolate,1.41,0.0,0,Pain au lait chocolate,piece,1.405,1.0,1.405,All,Muhammad Muneer
PANCAKE SWEET,8.16,34.0,25.2,Pan Cake,Portions,8.163,1.0,8.163,All,Muhammad Muneer
Passion Mojito,5.8,21.0,29.0,Passion Mojito,ml,0.026,220.0,5.797,All,Muhammad Muneer
Passion Mojito,5.8,0.0,0,Passion Mojito,ml,0.026,220.0,5.797,All,Muhammad Muneer
Passion Soda,1.89,15.0,13.23,Passion fruit,gms,0.019,25.0,0.462,All,Jawad
Passion Soda,1.89,15.0,13.23,Passion syrup Homemade,gms,0.029,22.0,0.628,All,Jawad
Passion Soda,1.89,15.0,13.23,Puree Passion No Added Sugar,gms,0.04,7.0,0.283,All,Jawad
Passion Soda,1.89,15.0,13.23,Water sparkling (750 ml) - Al Ain Glass Bottle,ml,0.003,180.0,0.518,All,Jawad
pasta alfredo,6.51,0.0,0,Chicken Breast 1000 gms,gms,0.038,100.0,3.812,All,Jawad
pasta alfredo,6.51,0.0,0,Pasta Penne Rigate,gms,0.011,150.0,1.65,All,Jawad
pasta alfredo,6.51,0.0,0,Cheese Parmesan Block,gms,0.043,20.0,0.859,All,Jawad
pasta alfredo,6.51,0.0,0,Garlic,gms,0.007,25.0,0.169,All,Jawad
pasta alfredo,6.51,0.0,0,Parsley Leaves,gms,0.009,2.0,0.017,All,Jawad
Pasta Bolognese,16.2,55.0,29.47,Tomato Paste,gms,0.056,20.0,1.125,All,Muhammad Muneer
Pasta Bolognese,16.2,55.0,29.47,Angus beef mince 80/20 topside + chuck,gms,0.077,70.0,5.368,All,Muhammad Muneer
Pasta Bolognese,16.2,55.0,29.47,Cheese Parmesan Block,gms,0.043,20.0,0.859,All,Muhammad Muneer
Pasta Bolognese,16.2,55.0,29.47,Pasta Spaghetti Barilla,gms,0.011,150.0,1.68,All,Muhammad Muneer
Pasta Bolognese,16.2,55.0,29.47,Basil Leaves,gms,0.042,2.0,0.084,All,Muhammad Muneer
Pasta Bolognese,16.2,55.0,29.47,Garlic,gms,0.007,25.0,0.169,All,Muhammad Muneer
Pasta Bolognese,16.2,55.0,29.47,Bolognese sauce,ml,0.043,160.0,6.92,All,Muhammad Muneer
Peach & Pear White Tea,7.66,27.0,29.79,Peach & Pear (Avantcha Tea),gms,0.739,10.0,7.386,All,Muhammad Muneer
Peach & Pear White Tea,7.66,27.0,29.79,"Water Al Ain bottled 1,5 L",ml,0.001,300.0,0.275,All,Muhammad Muneer
Pear & Choco Turnover,3.62,18.0,21.12,Bliss Brownie,piece,3.616,1.0,3.616,All,Muhammad Muneer
Pecan,3.01,0.0,0,Pecan Cookies,piece,3.013,1.0,3.013,All,Muhammad Muneer
